Gender,Height
0,161.7087798788858
1,169.38085419607944
0,164.75211919093024
0,157.11548172168798
0,155.5079266432582
1,162.45959585753252
0,153.3988339648968
0,169.15729382927177
0,165.89720060360642
1,157.65412173947647
0,151.43432735454562
0,166.76936187082705
0,159.4273007737369
0,166.1890815598673
1,152.02786170602818
0,157.00312488523113
1,160.0262184985909
1,160.23490296882372
1,157.74967264260377
0,163.1142496617375
1,154.66189785308703
0,159.28810257489354
1,160.6014781585595
1,162.57219417029376
1,163.55807439044446
1,154.37678954081065
1,152.3294291463219
1,166.38838410949253
1,161.66157005989797
1,156.25756731721722
0,167.7557598776126
0,160.5783731714643
1,165.89648592031912
1,160.33759240705055
1,170.30373962440993
0,168.77670421221603
1,158.75517925760462
0,164.85785475477178
0,163.22687974792575
0,166.84315778766174
0,155.17538269709948
0,163.4302572999922
1,165.29212243424794
1,151.20630256788442
1,154.08370743667112
1,149.8038391111995
1,158.65296582777722
0,163.5877112789798
1,167.51178526048014
1,160.37047390209887
0,168.14307772785645
1,153.09949270892554
0,151.48308780322424
1,159.7222615055169
0,161.92032724469652
1,159.83652625952953
1,149.66278949980062
0,159.55439980243605
0,153.47765249747573
0,163.3483627441502
0,161.83299123048425
0,155.30060106836322
0,157.43066541331652
0,154.70393239055525
0,159.68660451363414
1,164.7757116025062
1,155.07136976832228
0,162.5202325775892
1,157.3487119081378
1,156.03563583868828
1,159.4648482002272
1,154.82378838790314
0,157.2317534732641
1,154.01061053705575
0,169.82362566458195
1,160.17631775985865
1,156.50137246003706
1,161.06989955367112
0,159.43835975154585
1,158.89515200233387
0,163.07083350021713
1,163.78753855023652
0,157.34749426194736
1,157.1209087967766
0,158.62474151424178
0,148.49039417632207
1,152.42404468900725
0,166.83437133722262
1,168.22483856750642
1,158.75481980221812
1,162.88278481527882
1,161.55625077271768
1,175.3944040422762
1,165.59787455717287
1,159.36041204259618
1,155.22229779699788
1,151.96776839871214
1,161.01731817933612
1,156.21824627357847
0,152.88873145201163
0,156.76713557878736
1,154.59225998192804
1,168.43570817536283
1,164.40819878474724
1,159.96013679341692
1,167.39972069445014
1,160.3868415382381
1,155.69357899335867
1,167.6156203863483
0,162.6945502184233
1,154.8137692283677
0,159.04830660958197
1,155.62190873307622
1,153.08600134517832
0,164.6308877376582
1,169.54708320235065
0,153.0071621309043
1,162.81484618345286
1,156.74678715439086
0,157.5643730811765
1,157.03803037880564
0,155.68004615160092
1,160.24260813972413
0,155.8452494179448
0,161.35228412889919
1,159.7488094527543
1,158.80525976566796
0,155.462181689792
1,157.11614334715833
1,163.7769561291288
1,162.5045859381219
0,155.11222377600726
0,160.49666152714613
0,163.75693561685895
0,151.65297359439313
0,162.71680096189968
0,156.68688120527077
0,162.8529933429658
0,156.1837042172874
0,150.9755894966774
1,151.86228781058418
0,160.24042473330692
1,161.29861250860742
1,155.47841687447794
1,163.19296229388686
0,151.6923996886552
0,159.66960100676343
0,153.9449190011877
0,156.7408194609892
1,160.23699335658208
0,155.69793317358022
0,158.07722227885088
0,165.03146404607222
0,157.11554065238425
0,164.1784605603257
1,154.35146572671192
0,162.6490208895764
1,167.2078431032895
0,147.64177749936354
1,156.01552372264763
0,162.8853606359027
0,158.98477306978504
1,161.85572936685654
1,156.98007406642088
1,160.4329489373645
